Carrot ニンジン
Cartagena カルタヘナ
Carthage カルタゴ
Cartography 地図学
Caryophyllales ナデシコ目
Casablanca カサブランカ
Cashew カシューナッツ
Casino カジノ
Cassandra カッサンドラー
Caste カースト
Castle 城
Castling キャスリング
Castries カストリーズ
Cat ネコ
Catalonia カタルーニャ州
Catalysis 触媒
Cataphract カタフラクト
Cataract 白内障
Catfish ナマズ目
Catharism カタリ派
Cathedral 大聖堂
Cathode カソード
Catholicism カトリシズム
Cattle ウシ
Caucasus カフカース
Cauliflower カリフラワー
Causality 因果
Cavalry 騎兵
Cave 洞窟
Caviar キャビア
Cayenne カイエンヌ
Cedar ヒマラヤスギ属
Celery セロリ
Celibacy 禁欲
Cello チェロ
Cellulose セルロース
Celsius セルシウス度
Cement セメント
Cemetery 墓地
Cenozoic 新生代
Census 国勢調査
Centaur ケンタウロス
Centaurus ケンタウルス座
Centimetre センチメートル
Centre サントル地域圏
Century 世紀
Cephalopod 頭足類
Ceramic セラミックス
Cerberus ケルベロス
Cereal 穀物
Cerebellum 小脳
Ceres セレス
Cerium セリウム
Cestoda サナダムシ
Cetacea クジラ目
Cetus くじら座
Chad チャド
Chaffinch ズアオアトリ
Chair 椅子
Chalcedony 玉髄
Chamaeleon カメレオン座
Chamois シャモア
Charadriiformes チドリ目
Charlemagne カール大帝
Charleroi シャルルロワ
Charmed チャームド
Chartres シャルトル
Chauvinism 排外主義
Chechnya チェチェン共和国
Cheese チーズ
Cheetah チーター
Chelyabinsk チェリャビンスク
Chemistry Portal: 化学
Chemnitz ケムニッツ
Chemotherapy 化学療法
Chennai チェンナイ
Cheque 小切手
Chernobyl チョルノーブィリ
Cherry サクランボ
Chert 燧石
Cherub 智天使
Chess チェス
Chestnut クリ
Chicago シカゴ
Chicken ニワトリ
Chickenpox 水痘
Chickpea ヒヨコマメ
Chihuahua チワワ州
Child 子供
Childbirth 分娩
Chile チリ
Chimpanzee チンパンジー属
China 中国
Chios キオス
Chiron ケイローン
Chitin キチン質
Chlorine 塩素
Chloroform クロロホルム
Chlorophyll クロロフィル
Chloroplast 葉緑体
Chocolate チョコレート
Choir 合唱
Cholera コレラ
Cholesterol コレステロール
Chondrichthyes 軟骨魚綱
Chongqing 重慶市
Chordate 脊索動物
Christchurch クライストチャーチ
Christianity キリスト教
Christmas クリスマス
Chromatin クロマチン
Chromatography クロマトグラフィー
Chromium クロム
Chromosome 染色体
Church 教会
Ciconiiformes コウノトリ目
Cider シードル
Cigarette 紙巻きタバコ
Cinderella シンデレラ
Cinnabar 辰砂
Cinnamon シナモン
Circe キルケー
Circinus コンパス座
Circumcision 割礼
Circus サーカス
Cirrhosis 肝硬変
Citizenship 市民
Citrus 柑橘類
City-state 都市国家
Civilization 文明
Clarinet クラリネット
Class クラス
Classicism 古典主義
Claudius クラウディウス
Clavicle 鎖骨
Clay 粘土
Clef 音部記号
Clergy 聖職者
Client-server クライアントサーバモデル
Climate 気候
Climatology 気候学
Clio クレイオー
Clitoris 陰核
Clock 時計
Cloning クローニング
Clothing 衣類
Cloud 雲
Clove クローブ
Clover クローバー
Cnidaria 刺胞動物
Coal 石炭
Coast 海岸
Cobalt コバルト
Cocaine コカイン
Coccinellidae テントウムシ
Cockatoo オウム
Cockroach ゴキブリ
Cocktail カクテル
Coconut ココナッツ
Codeine コデイン
Coffea コーヒーノキ
Coffee コーヒー
Coin 硬貨
Colchis コルキス
Collage コラージュ
Collagen コラーゲン
Colloid コロイド
Cologne ケルン
Colombia コロンビア
Colombo コロンボ
Colonel 大佐
Colony 植民地
Color 色
Colorado コロラド州
Colosseum コロッセオ
Colubrid ナミヘビ科
Columbidae 鳩
Columbiformes ハト目
Columbus コロンブス
Coma 昏睡
Combustion 燃焼
Comedy 喜劇
Comenius コメニウス
Comet 彗星
Communication 通信
Communism 共産主義
Comoros コモロ
Compass 方位磁針
Competition 競技
Compiler コンパイラ
Composer 作曲家
Computer コンピュータ
Conakry コナクリ
Concentration 濃度
Concerto 協奏曲
Concrete コンクリート
Condom コンドーム
Confederation 国家連合
Confession 告解
Confirmation 堅信
Conflict 紛争
Confucianism 儒教
Confucius 孔子
Congo コンゴ
Connecticut コネチカット州
Conquistador コンキスタドール
Consensus 合意
Conservatism 保守
Consonant 子音
Constantinople コンスタンティノポリス
Constellation 星座
Consul 執政官
Continent 大陸
Contract 契約
Convection 対流
Cooking 料理
Cooperative 生活協同組合
Copenhagen コペンハーゲン
Copper 銅
Copyright 著作権
Coraciiformes ブッポウソウ目
Coral サンゴ
Coriander コリアンダー
Corinth コリントス
Cormorant ウ科 (Sibley)
Cornea 角膜
Cornwall コーンウォール
Corporation 株式会社
Corrosion 腐食
Corsica コルシカ島
Corundum コランダム
Corvette コルベット
Corvidae カラス科
Cosmology 宇宙論
Cotonou コトヌー
Cotopaxi コトパクシ山
Cotton 木綿
Cougar ピューマ
Coulomb クーロン
Counterpoint 対位法
Country 国家
Court 裁判所
Coventry コヴェントリー
Coyote コヨーテ
Crab カニ
Creationism 創造論
Cremona クレモナ
Cretaceous 白亜紀
Crete クレタ島
Cricket クリケット
Crime 犯罪
Crimea クリミア自治共和国
Criminology 犯罪学
Croatia クロアチア
Crocodile クロコダイル科
Crocodilia ワニ
Cronus クロノス
Cross 十字
Crossbow クロスボウ
Crossword クロスワードパズル
Crow 鴉
Crucifixion 磔
Cruiser 巡洋艦
Crustacean 甲殻類
Crux みなみじゅうじ座
Cryptography 暗号理論
Crystal 結晶
Crystallography 結晶学
Ctenophore 有櫛動物
Cuba キューバ
Cube 正六面体
Cubism キュビスム
Cuculiformes カッコウ目
Cucumber キュウリ
Cucurbitaceae ウリ科
Culture 文化
Cupressaceae ヒノキ科
Curitiba クリチバ
Curium キュリウム
Curling カーリング
Currency 通貨
Curry カレー
Curve 曲線
Cusco クスコ
Cyanide シアン化物
Cyanobacteria 藍藻
Cybele キュベレー
Cybernetics サイバネティックス
Cyberpunk サイバーパンク
Cyclades キクラデス諸島
Cycling サイクリング
Cyclone サイクロン
Cyclops キュクロープス
Cyperaceae カヤツリグサ科
Cyprinid コイ科
